Website Domain,Ticker,Technology Name,Technology ID,First Seen At,Last Seen At,Behind Firewall,First_Year,First_Month,Last_Year,Last_Month
sony.com,NYSE:SNE,Salesforce Desk,74c52a60-18f3-5dad-a604-e10f940ae1b1,2024-06-09 03:40:41+00:00,2024-08-09 03:46:56+00:00,False,2024,6,2024,8
samsung.com,NASDAQOTH:SSNLF,LottieFiles,25484253-0d20-5594-ad64-29be4bae3bd5,2024-09-02 09:31:36+00:00,2024-09-02 09:51:13+00:00,False,2024,9,2024,9
infosys.com,NYSE:INFY,Vulcan,594e6d04-ddca-498c-8083-64e83d91c71a,2024-09-04 08:24:50+00:00,2024-09-04 08:24:50+00:00,True,2024,9,2024,9
infosys.com,NYSE:INFY,HTML,02f48508-e6e7-4a38-a79d-f7775b8fe7d7,2024-09-03 05:29:50+00:00,2024-09-06 07:23:43+00:00,True,2024,9,2024,9
rakuten.com,Unknown,PyTorch,a0d6a9e2-4320-4cac-b2cc-932b2bd95a46,2024-09-04 10:15:20+00:00,2024-09-04 10:15:20+00:00,True,2024,9,2024,9
wipro.com,NYSE:WIT,Avaya Aura Messaging,b47f0e8f-e60e-5048-9b38-53d05e2f8b2b,2024-06-10 00:54:04+00:00,2024-06-10 00:54:04+00:00,True,2024,6,2024,6
sony.com,NYSE:SNE,DB2,01aa495d-f8a7-49d3-9a4f-a53980dc310b,2024-09-03 18:20:27+00:00,2024-09-03 18:20:27+00:00,True,2024,9,2024,9
sea.com,NYSE:SE,X-Content-Type-Options,3ee8a45c-4b45-4c85-9564-fe6981802538,2024-07-02 22:56:18+00:00,2024-08-23 23:59:57+00:00,False,2024,7,2024,8
infosys.com,NYSE:INFY,Pega,bcb67747-b459-449a-9248-feeb4455624e,2024-09-03 07:17:22+00:00,2024-09-05 19:57:57+00:00,True,2024,9,2024,9
infosys.com,NYSE:INFY,InRiver,07165e78-c67f-50be-b609-a2ccc654e72f,2024-09-05 19:18:00+00:00,2024-09-05 19:18:00+00:00,True,2024,9,2024,9
wipro.com,NYSE:WIT,Vite,31dfac97-eb23-57c6-8e53-15229b1f5941,2024-08-01 12:52:30+00:00,2024-08-01 12:54:48+00:00,True,2024,8,2024,8
rakuten.com,Unknown,Android Studio,65a1454f-3312-5243-82e5-f6e17877d99f,2024-06-23 09:50:03+00:00,2024-07-14 18:02:34+00:00,True,2024,6,2024,7
samsung.com,NASDAQOTH:SSNLF,PyTorch,a0d6a9e2-4320-4cac-b2cc-932b2bd95a46,2024-09-03 18:41:31+00:00,2024-09-06 04:10:19+00:00,True,2024,9,2024,9
wipro.com,NYSE:WIT,Zilliant,7ff4d6c2-9b24-58da-8df2-a631bcf899f1,2024-08-09 21:05:54+00:00,2024-08-09 21:05:54+00:00,True,2024,8,2024,8
baidu.com,NASDAQ:BIDU,PyTorch,a0d6a9e2-4320-4cac-b2cc-932b2bd95a46,2024-09-02 15:51:24+00:00,2024-09-03 07:37:38+00:00,True,2024,9,2024,9
infosys.com,NYSE:INFY,Azure Arc,c1ac72c5-9c6b-4796-97c4-549da086645a,2024-08-29 09:17:45+00:00,2024-08-29 09:17:45+00:00,True,2024,8,2024,8
rakuten.com,Unknown,Spring Boot,92bed5c9-d378-4390-9a88-7a05731812ed,2024-08-23 16:27:20+00:00,2024-08-29 02:57:13+00:00,True,2024,8,2024,8
sony.com,NYSE:SNE,ONESOURCE,16ff7881-3f7f-5ffc-9431-7bdbcef77c84,2024-06-25 03:42:04+00:00,2024-08-30 15:23:36+00:00,True,2024,6,2024,8
grab.com,Unknown,Qlik Sense,25755347-39be-5c80-b307-d86f7ad02e5c,2024-07-20 12:21:05+00:00,2024-07-20 12:21:05+00:00,True,2024,7,2024,7
